date,numbers
10/6/2017,"9,14,22,24,27,29,32,25"
17/06/2017,"4,6,14,19,22,30,33,12"
24/06/2017,"4,5,12,13,16,19,28,24"
1/7/2017,"14,16,17,18,19,22,23,34"
8/7/2017,"6,9,17,20,28,29,32,5"
15/07/2017,"3,4,10,12,16,21,23,34"
22/07/2017,"2,6,12,14,16,18,19,29"
29/07/2017,"11,13,17,21,23,27,33,26"
5/8/2017,"7,16,17,27,29,31,33,21"
12/8/2017,"3,10,11,19,22,24,31,16"
19/08/2017,"7,13,19,25,30,31,33,15"
26/08/2017,"1,12,14,17,23,27,30,3"
2/9/2017,"5,10,11,18,25,27,36,7"
9/9/2017,"4,5,15,21,26,32,35,6"
16/09/2017,"2,3,5,12,23,31,34,17"
23/09/2017,"4,5,15,23,24,31,32,35"
30/09/2017,"3,5,20,21,23,25,30,29"
7/10/2017,"5,6,7,8,13,21,32,9"
14/10/2017,"1,14,15,21,23,28,33,12"
21/10/2017,"2,13,17,18,26,29,34,5"
28/10/2017,"3,5,13,19,22,31,34,14"
4/11/2017,"1,4,5,8,20,22,32,31"
11/11/2017,"2,4,28,30,31,32,36,19"
18/11/2017,"4,5,13,14,28,34,35,10"
25/11/2017,"8,11,12,16,32,34,35,9"
2/12/2017,"5,12,13,22,28,32,35,31"
9/12/2017,"2,4,9,17,26,27,29,3"
16/12/2017,"3,7,15,21,24,28,33,18"
23/12/2017,"5,14,17,19,20,24,29,10"
30/12/2017,"5,9,11,24,26,30,34,23"
6/1/2018,"9,11,17,19,21,27,32,18"
13/01/2018,"4,6,9,20,23,32,33,36"
20/01/2018,"8,9,14,17,22,26,30,32"
27/01/2018,"1,2,7,27,29,31,32,11"
3/2/2018,"3,5,6,13,16,25,32,36"
10/2/2018,"2,3,6,9,24,25,30,7"
17/02/2018,"2,4,5,7,8,25,34,14"
24/02/2018,"2,8,14,17,18,31,33,22"
3/3/2018,"1,12,17,23,24,25,28,18"
10/3/2018,"1,14,19,23,25,27,36,5"
17/03/2018,"6,10,12,21,27,28,35,16"
24/03/2018,"7,9,11,19,20,27,36,26"
31/03/2018,"6,13,15,17,28,31,33,22"
7/4/2018,"10,12,13,19,20,22,31,1"
14/04/2018,"2,9,11,13,21,25,27,17"
21/04/2018,"6,9,11,25,26,32,36,24"
28/04/2018,"18,20,23,25,30,34,35,14"
5/5/2018,"6,7,11,12,16,35,36,4"
12/5/2018,"1,8,22,25,28,29,34,23"
19/05/2018,"7,11,18,21,24,27,31,12"
26/05/2018,"2,7,10,11,12,22,34,30"
2/6/2018,"3,12,15,17,22,30,36,19"
9/6/2018,"6,7,17,18,19,20,31,14"
16/06/2018,"9,10,11,13,15,28,36,1"
23/06/2018,"2,5,20,21,24,27,29,23"
30/06/2018,"9,12,15,17,19,26,29,20"
7/7/2018,"3,4,10,11,13,20,25,34"
14/07/2018,"1,3,15,18,21,24,25,19"
21/07/2018,"4,5,16,21,22,23,26,11"
28/07/2018,"5,15,18,20,21,27,30,28"
4/8/2018,"2,3,4,9,12,33,36,19"
11/8/2018,"10,13,20,21,25,28,29,30"
18/08/2018,"7,8,18,23,30,32,34,21"
25/08/2018,"7,9,18,21,25,29,30,3"
1/9/2018,"12,13,15,16,21,29,30,28"
8/9/2018,"8,12,13,17,27,31,35,10"
15/09/2018,"2,13,15,19,30,31,32,4"
22/09/2018,"6,9,10,15,18,26,32,27"
29/09/2018,"9,17,24,26,30,32,33,5"
6/10/2018,"4,11,16,18,20,28,35,19"
13/10/2018,"8,9,13,20,22,28,36,29"
20/10/2018,"1,7,8,12,19,31,34,32"
27/10/2018,"2,3,4,9,10,29,34,30"
3/11/2018,"2,6,8,14,23,32,34,13"
10/11/2018,"2,6,17,23,26,29,31,20"
17/11/2018,"9,16,19,23,29,33,35,3"
24/11/2018,"16,27,31,33,34,35,36,23"
1/12/2018,"4,7,24,25,29,31,33,19"
8/12/2018,"3,4,5,10,22,26,30,24"
15/12/2018,"1,2,11,13,19,23,35,14"
22/12/2018,"1,10,18,21,27,28,29,26"
29/12/2018,"4,10,12,21,23,31,36,35"
5/1/2019,"8,10,11,18,23,26,35,2"
12/1/2019,"2,12,15,20,26,30,34,29"
